"1387","P-05072019-970","P-05072019-9706729"
"1340","P-05072019-970","P-05072019-9708114"
"1390","P-05072019-971","P-05072019-9714122"
"1341","P-05072019-971","P-05072019-9714269"
"1389","P-05072019-971","P-05072019-9716217"
"1391","P-05072019-972","P-05072019-9721668"
"1342","P-05072019-972","P-05072019-9728441"
"1392","P-05072019-972","P-05072019-9729651"
"1343","P-05072019-973","P-05072019-9736176"
"1393","P-05072019-973","P-05072019-9736473"
"1394","P-05072019-973","P-05072019-9738117"
"1344","P-05072019-974","P-05072019-9743627"
"1395","P-05072019-974","P-05072019-9744710"
"1396","P-05072019-974","P-05072019-9745008"
"1398","P-05072019-975","P-05072019-9754617"
"1345","P-05072019-975","P-05072019-9754701"
"1397","P-05072019-975","P-05072019-9755843"
"1346","P-05072019-976","P-05072019-9762516"
"1399","P-05072019-976","P-05072019-9763349"
"1400","P-05072019-976","P-05072019-9764156"
"1402","P-05072019-977","P-05072019-9774030"
"1347","P-05072019-977","P-05072019-9774735"
"1401","P-05072019-977","P-05072019-9775531"
"1348","P-05072019-978","P-05072019-9783879"
"1403","P-05072019-978","P-05072019-9787932"
"1404","P-05072019-978","P-05072019-9788093"
"1405","P-05072019-979","P-05072019-9798192"
"1406","P-05072019-980","P-05072019-9808682"
"1407","P-05072019-981","P-05072019-9817941"
"154","P-06012019-211","P-06012019-2118220"
"155","P-06012019-212","P-06012019-2123826"
"156","P-06012019-213","P-06012019-2139811"
"157","P-06012019-214","P-06012019-2146409"
"158","P-06042019-529","P-06042019-5292411"
"159","P-06042019-530","P-06042019-5302850"
"160","P-06042019-530","P-06042019-5302879"
"161","P-06042019-530","P-06042019-5303197"
"162","P-06042019-530","P-06042019-5307990"
"163","P-06042019-531","P-06042019-5315238"
"164","P-06042019-532","P-06042019-5325793"
"165","P-06042019-532","P-06042019-5326089"
"166","P-07012019-215","P-07012019-2154820"
"167","P-07012019-216","P-07012019-2163374"
"168","P-07012019-217","P-07012019-2173676"
"169","P-07012019-218","P-07012019-2184665"
"170","P-07012019-219","P-07012019-2198519"
"171","P-07012019-220","P-07012019-2205381"
"172","P-07012019-221","P-07012019-2215287"
"173","P-07012019-222","P-07012019-2222931"
"174","P-07052019-640","P-07052019-6401643"
"175","P-07052019-640","P-07052019-6406027"
"176","P-07052019-640","P-07052019-6407048"
"177","P-07052019-640","P-07052019-6409126"
"178","P-07052019-641","P-07052019-6413356"
"179","P-07052019-641","P-07052019-6415997"
"180","P-07052019-641","P-07052019-6416620"
"181","P-07052019-641","P-07052019-6418563"
"182","P-07052019-641","P-07052019-6419692"
"1015","P-07062019-783","P-07062019-7835477"
"1415","P-07072019-982","P-07072019-9824355"
"1417","P-07072019-982","P-07072019-9824981"
"1413","P-07072019-982","P-07072019-9825942"
"1414","P-07072019-982","P-07072019-9828157"
"1416","P-07072019-982","P-07072019-9829123"
"1419","P-07072019-983","P-07072019-9835708"
"1418","P-07072019-983","P-07072019-9836645"
"1420","P-07072019-983","P-07072019-9837072"
"1422","P-07072019-983","P-07072019-9837424"
"1421","P-07072019-983","P-07072019-9838868"
"1423","P-07072019-983","P-07072019-9839111"
"1425","P-07072019-984","P-07072019-9841340"
"1426","P-07072019-984","P-07072019-9842641"
"1424","P-07072019-984","P-07072019-9845371"
"1427","P-07072019-984","P-07072019-9848872"
"1434","P-07072019-985","P-07072019-9854343"
"1433","P-07072019-985","P-07072019-9855029"
"1432","P-07072019-985","P-07072019-9856883"
"183","P-08012019-223","P-08012019-2232682"
"184","P-08012019-223","P-08012019-2239626"
"185","P-08012019-224","P-08012019-2241447"
"186","P-08012019-225","P-08012019-2256142"
"187","P-08012019-226","P-08012019-2268348"
"188","P-08042019-533","P-08042019-5333682"
"189","P-08042019-533","P-08042019-5339162"
"190","P-08042019-534","P-08042019-5341069"
"191","P-08042019-535","P-08042019-5352845"
"192","P-08042019-535","P-08042019-5354450"
"193","P-08042019-536","P-08042019-5367170"
"194","P-08042019-536","P-08042019-5367230"
